Country,Cowcode,Year,Independent Country?,Group Name,Group Proportion,Group Estimate,Outlier,Anchor
United States of America,2,1950,1,protestant,,65.62717,0,0
United States of America,2,1951,1,other,,1.952187,0,0
United States of America,2,1951,1,romancatholic,,23.90788,0,0
United States of America,2,1951,1,protestant,,65.4101,0,0
United States of America,2,1951,1,orthodox,,2.524221,0,0
United States of America,2,1951,1,muslim,,0.2001674,0,0
United States of America,2,1951,1,jewish,,3.599075,0,0
United States of America,2,1951,1,nonreligious,,2.406367,0,0
United States of America,2,1952,1,protestant,,65.19239,0,0
United States of America,2,1952,1,romancatholic,21.83,23.90924,0,0
United States of America,2,1952,1,other,,2.164223,0,0
United States of America,2,1952,1,jewish,,3.547119,0,0
United States of America,2,1952,1,nonreligious,,2.492305,0,0
United States of America,2,1952,1,muslim,,0.2076132,0,0
United States of America,2,1952,1,orthodox,,2.487113,0,0
United States of America,2,1953,1,romancatholic,,23.91059,0,0
United States of America,2,1953,1,jewish,,3.495887,0,0
United States of America,2,1953,1,protestant,,64.97404,0,0
United States of America,2,1953,1,other,,2.372375,0,0
United States of America,2,1953,1,muslim,,0.2153354,0,0
United States of America,2,1953,1,orthodox,,2.450538,0,0
United States of America,2,1953,1,nonreligious,,2.581231,0,0
United States of America,2,1954,1,other,,2.576546,0,0
United States of America,2,1954,1,protestant,71,64.75506,0,0
United States of America,2,1954,1,muslim,,0.2233441,0,0
United States of America,2,1954,1,orthodox,,2.414487,0,0
United States of America,2,1954,1,jewish,,3.445367,0,0
United States of America,2,1954,1,nonreligious,,2.673244,0,0
United States of America,2,1954,1,romancatholic,,23.91195,0,0
United States of America,2,1955,1,nonreligious,,2.768443,0,0
United States of America,2,1955,1,romancatholic,,23.91331,0,0
United States of America,2,1955,1,other,,2.776634,0,0
United States of America,2,1955,1,protestant,,64.53546,0,0
United States of America,2,1955,1,jewish,,3.395552,0,0
United States of America,2,1955,1,muslim,,0.2316499,0,0
United States of America,2,1955,1,orthodox,,2.378953,0,0
United States of America,2,1956,1,protestant,,64.31525,0,0
United States of America,2,1956,1,muslim,,0.2402639,0,0
United States of America,2,1956,1,orthodox,,2.34393,0,0
United States of America,2,1956,1,romancatholic,,23.91467,0,0
United States of America,2,1956,1,jewish,,3.346432,0,0
United States of America,2,1956,1,nonreligious,,2.866932,0,0
United States of America,2,1956,1,other,,2.972527,0,0
United States of America,2,1957,1,other,,3.164131,0,0
United States of America,2,1957,1,muslim,,0.2491975,0,0
United States of America,2,1957,1,protestant,,64.09442,0,0
United States of America,2,1957,1,romancatholic,,23.91602,0,0
United States of America,2,1957,1,nonreligious,,2.968818,0,0
United States of America,2,1957,1,jewish,,3.297999,0,0
United States of America,2,1957,1,orthodox,,2.309411,0,0
United States of America,2,1958,1,jewish,,3.250244,0,0
United States of America,2,1958,1,romancatholic,,23.91738,0,0
United States of America,2,1958,1,other,,3.351311,0,0
United States of America,2,1958,1,orthodox,,2.275388,0,0
United States of America,2,1958,1,nonreligious,,3.074211,0,0
United States of America,2,1958,1,muslim,,0.2584624,0,0
United States of America,2,1958,1,protestant,,63.873,0,0
United States of America,2,1959,1,other,,3.533966,0,0
United States of America,2,1959,1,jewish,,3.203156,0,0
United States of America,2,1959,1,nonreligious,,3.183222,0,0
United States of America,2,1959,1,orthodox,,2.241854,0,0
United States of America,2,1959,1,romancatholic,,23.91874,0,0
United States of America,2,1959,1,protestant,,63.65099,0,0
United States of America,2,1959,1,muslim,,0.2680708,0,0
United States of America,2,1960,1,jewish,,3.156729,0,0
United States of America,2,1960,1,nonreligious,,3.295967,0,0
United States of America,2,1960,1,romancatholic,,23.9201,0,0
United States of America,2,1960,1,muslim,0.13,0.2780354,0,0
United States of America,2,1960,1,orthodox,,2.208804,0,0
United States of America,2,1960,1,protestant,,63.4284,0,0
United States of America,2,1960,1,other,,3.711967,0,0
United States of America,2,1961,1,romancatholic,,23.92145,0,0
United States of America,2,1961,1,jewish,,3.110953,0,0
United States of America,2,1961,1,other,,3.885201,0,0
United States of America,2,1961,1,orthodox,,2.17623,0,0
United States of America,2,1961,1,muslim,,0.2883693,0,0
United States of America,2,1961,1,nonreligious,,3.412566,0,0
United States of America,2,1961,1,protestant,,63.20523,0,0
United States of America,2,1962,1,nonreligious,,3.533138,0,0
United States of America,2,1962,1,protestant,,62.98149,0,0
United States of America,2,1962,1,jewish,,3.06582,0,0
United States of America,2,1962,1,muslim,,0.2990862,0,0
United States of America,2,1962,1,orthodox,,2.144126,0,0
United States of America,2,1962,1,romancatholic,,23.92281,0,0
United States of America,2,1962,1,other,,4.053528,0,0
United States of America,2,1963,1,muslim,,0.3101999,0,0
United States of America,2,1963,1,nonreligious,,3.657808,0,0
United States of America,2,1963,1,jewish,,3.02132,0,0
United States of America,2,1963,1,other,,4.21682,0,0
United States of America,2,1963,1,romancatholic,,23.92417,0,0
United States of America,2,1963,1,protestant,,62.75719,0,0
United States of America,2,1963,1,orthodox,,2.112485,0,0
United States of America,2,1964,1,protestant,,62.53235,0,0
United States of America,2,1964,1,jewish,,2.977448,0,0
United States of America,2,1964,1,other,,4.374947,0,0
United States of America,2,1964,1,nonreligious,,3.786705,0,0
United States of America,2,1964,1,romancatholic,,23.92553,0,0
United States of America,2,1964,1,muslim,,0.3217255,0,0
United States of America,2,1964,1,orthodox,,2.081301,0,0
United States of America,2,1965,1,protestant,,62.30696,0,0
United States of America,2,1965,1,other,,4.527756,0,0
United States of America,2,1965,1,orthodox,,2.050568,0,0
United States of America,2,1965,1,nonreligious,,3.91996,0,0
United States of America,2,1965,1,jewish,,2.934193,0,0
United States of America,2,1965,1,romancatholic,24.96,23.92689,0,0
United States of America,2,1965,1,muslim,,0.3336779,0,0
United States of America,2,1965,1,other,,4.527756,0,0
United States of America,2,1965,1,romancatholic,23.47,23.92689,0,0
United States of America,2,1965,1,muslim,,0.3336779,0,0
United States of America,2,1965,1,jewish,,2.934193,0,0
United States of America,2,1965,1,protestant,,62.30696,0,0
United States of America,2,1965,1,nonreligious,,3.91996,0,0
United States of America,2,1965,1,orthodox,,2.050568,0,0
United States of America,2,1966,1,jewish,,2.891547,0,0
United States of America,2,1966,1,nonreligious,,4.057705,0,0
United States of America,2,1966,1,protestant,,62.08104,0,0
United States of America,2,1966,1,muslim,,0.3460727,0,0
United States of America,2,1966,1,romancatholic,,23.92824,0,0
United States of America,2,1966,1,other,,4.67511,0,0
United States of America,2,1966,1,orthodox,,2.02028,0,0
United States of America,2,1967,1,nonreligious,,4.200079,0,0
United States of America,2,1967,1,orthodox,,1.990429,0,0
United States of America,2,1967,1,jewish,,2.849504,0,0
United States of America,2,1967,1,romancatholic,,23.9296,0,0
United States of America,2,1967,1,other,,4.816872,0,0
United States of America,2,1967,1,muslim,,0.3589263,0,0
United States of America,2,1967,1,protestant,,61.85459,0,0
United States of America,2,1968,1,orthodox,,1.961011,0,0
United States of America,2,1968,1,jewish,,2.808053,0,0
United States of America,2,1968,1,muslim,,0.3722556,0,0
United States of America,2,1968,1,other,,4.952866,0,0
United States of America,2,1968,1,nonreligious,,4.347223,0,0
United States of America,2,1968,1,romancatholic,,23.93096,0,0
United States of America,2,1968,1,protestant,,61.62763,0,0
United States of America,2,1969,1,other,,5.082962,0,0
United States of America,2,1969,1,muslim,,0.3860779,0,0
United States of America,2,1969,1,protestant,,61.40015,0,0
United States of America,2,1969,1,jewish,,2.767189,0,0
United States of America,2,1969,1,romancatholic,,23.93232,0,0
United States of America,2,1969,1,nonreligious,,4.49928,0,0
United States of America,2,1969,1,orthodox,,1.932019,0,0
United States of America,2,1970,1,romancatholic,,23.93368,0,0
United States of America,2,1970,1,other,,5.206978,0,0
United States of America,2,1970,1,jewish,,2.726902,0,0
United States of America,2,1970,1,muslim,0.49,0.4004112,0,0
United States of America,2,1970,1,orthodox,,1.903447,0,0
United States of America,2,1970,1,nonreligious,,4.656396,0,0
United States of America,2,1970,1,protestant,,61.17219,0,0
United States of America,2,1971,1,romancatholic,,23.93503,0,0
United States of America,2,1971,1,other,,5.324768,0,0
United States of America,2,1971,1,nonreligious,,4.818722,0,0
United States of America,2,1971,1,muslim,,0.4152746,0,0
United States of America,2,1971,1,protestant,,60.94373,0,0
United States of America,2,1971,1,jewish,,2.687187,0,0
United States of America,2,1971,1,orthodox,,1.87529,0,0
United States of America,2,1972,1,nonreligious,5,4.986411,0,0
United States of America,2,1972,1,romancatholic,,23.93639,0,0
United States of America,2,1972,1,muslim,,0.4306874,0,0
United States of America,2,1972,1,jewish,,2.648034,0,0
United States of America,2,1972,1,other,,5.43615,0,0
United States of America,2,1972,1,orthodox,,1.847542,0,0
United States of America,2,1972,1,protestant,,60.71479,0,0
United States of America,2,1973,1,other,,5.540955,0,0
United States of America,2,1973,1,muslim,,0.4466696,0,0
United States of America,2,1973,1,orthodox,,1.820196,0,0
United States of America,2,1973,1,romancatholic,27,23.93775,0,0
United States of America,2,1973,1,jewish,,2.609435,0,0
United States of America,2,1973,1,protestant,60,60.48537,0,0
United States of America,2,1973,1,nonreligious,,5.15962,0,0
United States of America,2,1974,1,jewish,,2.571385,0,0
United States of America,2,1974,1,muslim,,0.4632422,0,0
United States of America,2,1974,1,other,,5.639015,0,0
United States of America,2,1974,1,protestant,,60.2555,0,0
United States of America,2,1974,1,orthodox,,1.793248,0,0
United States of America,2,1974,1,romancatholic,,23.93911,0,0
United States of America,2,1974,1,nonreligious,,5.338506,0,0
United States of America,2,1975,1,protestant,,60.02517,0,0
United States of America,2,1975,1,other,,5.730133,0,0
United States of America,2,1975,1,protestant,,60.02517,0,0
United States of America,2,1975,1,nonreligious,,5.523233,0,0
United States of America,2,1975,1,orthodox,,1.766692,0,0
United States of America,2,1975,1,jewish,,2.533875,0,0
United States of America,2,1975,1,other,,5.730133,0,0
United States of America,2,1975,1,muslim,,0.4804266,0,0
United States of America,2,1975,1,muslim,,0.4804266,0,0
United States of America,2,1975,1,jewish,,2.533875,0,0
United States of America,2,1975,1,nonreligious,,5.523233,0,0
United States of America,2,1975,1,romancatholic,25.23,23.94047,0,0
United States of America,2,1975,1,orthodox,,1.766692,0,0
United States of America,2,1975,1,romancatholic,22.55,23.94047,0,0
United States of America,2,1976,1,orthodox,,1.740522,0,0
United States of America,2,1976,1,other,,5.814148,0,0
United States of America,2,1976,1,jewish,,2.496898,0,0
United States of America,2,1976,1,romancatholic,,23.94183,0,0
United States of America,2,1976,1,muslim,,0.4982454,0,0
United States of America,2,1976,1,protestant,,59.7944,0,0
United States of America,2,1976,1,nonreligious,,5.713967,0,0
United States of America,2,1977,1,jewish,,2.460448,0,0
United States of America,2,1977,1,nonreligious,,5.910876,0,0
United States of America,2,1977,1,orthodox,,1.714733,0,0
United States of America,2,1977,1,protestant,,59.56319,0,0
United States of America,2,1977,1,muslim,,0.5167216,0,0
United States of America,2,1977,1,other,,5.890854,0,0
United States of America,2,1977,1,romancatholic,,23.94318,0,0
United States of America,2,1978,1,jewish,,2.424515,0,0
United States of America,2,1978,1,muslim,,0.5358791,0,0
United States of America,2,1978,1,other,,5.96006,0,0
United States of America,2,1978,1,romancatholic,,23.94454,0,0
United States of America,2,1978,1,nonreligious,7,6.11413,0,0
United States of America,2,1978,1,protestant,,59.33155,0,0
United States of America,2,1978,1,orthodox,,1.689319,0,0
United States of America,2,1979,1,protestant,,59.09951,0,0
United States of America,2,1979,1,romancatholic,,23.9459,0,0
United States of America,2,1979,1,other,,6.021576,0,0
United States of America,2,1979,1,jewish,,2.389095,0,0
United States of America,2,1979,1,nonreligious,,6.323903,0,0
United States of America,2,1979,1,orthodox,,1.664276,0,0
United States of America,2,1979,1,muslim,,0.555743,0,0
United States of America,2,1980,1,other,,6.075203,0,0
United States of America,2,1980,1,protestant,40,58.86705,0,0
United States of America,2,1980,1,orthodox,2.1,1.639597,0,0
United States of America,2,1980,1,jewish,3.2,2.35418,0,0
United States of America,2,1980,1,romancatholic,30,23.94726,0,0
United States of America,2,1980,1,nonreligious,,6.540371,0,0
United States of America,2,1980,1,muslim,0.8,0.5763391,0,0
United States of America,2,1981,1,other,,6.120728,0,0
United States of America,2,1981,1,protestant,,58.6342,0,0
United States of America,2,1981,1,nonreligious,,6.763716,0,0
United States of America,2,1981,1,jewish,,2.319763,0,0
United States of America,2,1981,1,muslim,,0.5976938,0,0
United States of America,2,1981,1,orthodox,,1.615279,0,0
United States of America,2,1981,1,romancatholic,,23.94862,0,0
United States of America,2,1982,1,nonreligious,,6.994116,0,0
United States of America,2,1982,1,jewish,,2.285837,0,0
United States of America,2,1982,1,muslim,,0.6198348,0,0
United States of America,2,1982,1,romancatholic,,23.94998,0,0
United States of America,2,1982,1,protestant,,58.40096,0,0
United States of America,2,1982,1,other,,6.157959,0,0
United States of America,2,1982,1,orthodox,,1.591316,0,0
United States of America,2,1983,1,nonreligious,,7.231755,0,0
United States of America,2,1983,1,muslim,,0.6427908,0,0
United States of America,2,1983,1,romancatholic,,23.95134,0,0
United States of America,2,1983,1,orthodox,,1.567702,0,0
United States of America,2,1983,1,jewish,,2.252397,0,0
United States of America,2,1983,1,other,,6.186676,0,0
United States of America,2,1983,1,protestant,,58.16734,0,0
United States of America,2,1984,1,protestant,,57.93336,0,0
United States of America,2,1984,1,jewish,,2.219434,0,0
United States of America,2,1984,1,orthodox,,1.544433,0,0
United States of America,2,1984,1,other,,6.206665,0,0
United States of America,2,1984,1,muslim,,0.6665912,0,0
United States of America,2,1984,1,nonreligious,,7.476821,0,0
United States of America,2,1984,1,romancatholic,,23.95269,0,0
United States of America,2,1985,1,orthodox,,1.521504,0,0
United States of America,2,1985,1,muslim,,0.6912664,0,0
United States of America,2,1985,1,nonreligious,,7.729498,0,0
United States of America,2,1985,1,muslim,,0.6912664,0,0
United States of America,2,1985,1,nonreligious,,7.729498,0,0
United States of America,2,1985,1,protestant,,57.69902,0,0
United States of America,2,1985,1,protestant,,57.69902,0,0
United States of America,2,1985,1,romancatholic,25,23.95405,0,0
United States of America,2,1985,1,other,,6.217712,0,0
United States of America,2,1985,1,romancatholic,21.98,23.95405,0,0
United States of America,2,1985,1,other,,6.217712,0,0
United States of America,2,1985,1,orthodox,,1.521504,0,0
United States of America,2,1985,1,jewish,,2.186943,0,0
United States of America,2,1985,1,jewish,,2.186943,0,0
United States of America,2,1986,1,other,,6.219597,0,0
United States of America,2,1986,1,romancatholic,,23.95541,0,0
United States of America,2,1986,1,jewish,,2.154917,0,0
United States of America,2,1986,1,muslim,,0.7168488,0,0
United States of America,2,1986,1,orthodox,,1.498911,0,0
United States of America,2,1986,1,nonreligious,9,7.989977,0,0
United States of America,2,1986,1,protestant,,57.46434,0,0
United States of America,2,1987,1,nonreligious,,8.258449,0,0
United States of America,2,1987,1,protestant,55.1,57.22932,0,0
United States of America,2,1987,1,muslim,1.9,0.7433708,0,0
United States of America,2,1987,1,jewish,3.2,2.123349,0,0
United States of America,2,1987,1,other,,6.21209,0,0
United States of America,2,1987,1,romancatholic,29.7,23.95677,0,0
United States of America,2,1987,1,orthodox,2.3,1.476648,0,0
United States of America,2,1988,1,orthodox,,1.454711,0,0
United States of America,2,1988,1,jewish,,2.092235,0,0
United States of America,2,1988,1,romancatholic,,23.95813,0,0
United States of America,2,1988,1,other,,6.194984,0,0
United States of America,2,1988,1,nonreligious,,8.535106,0,0
United States of America,2,1988,1,protestant,,56.99397,0,0
United States of America,2,1988,1,muslim,,0.7708665,0,0
United States of America,2,1989,1,romancatholic,28,23.95949,0,0
United States of America,2,1989,1,muslim,,0.799371,0,0
United States of America,2,1989,1,other,,6.168037,0,0
United States of America,2,1989,1,nonreligious,,8.820138,0,0
United States of America,2,1989,1,protestant,56,56.7583,0,0
United States of America,2,1989,1,orthodox,,1.433095,0,0
United States of America,2,1989,1,jewish,2,2.061566,0,0
United States of America,2,1990,1,jewish,1.8,2.031338,0,0
United States of America,2,1990,1,nonreligious,,9.11374,0,0
United States of America,2,1990,1,jewish,,2.031338,0,0
United States of America,2,1990,1,protestant,52.7,56.52233,0,0
United States of America,2,1990,1,romancatholic,26.2,23.96085,0,0
United States of America,2,1990,1,muslim,,0.8289207,0,0
United States of America,2,1990,1,protestant,,56.52233,0,0
United States of America,2,1990,1,romancatholic,25,23.96085,0,0
United States of America,2,1990,1,other,,6.131027,0,0
United States of America,2,1990,1,nonreligious,,9.11374,0,0
United States of America,2,1990,1,muslim,1.9,0.8289207,0,0
United States of America,2,1990,1,orthodox,,1.411795,0,0
United States of America,2,1990,1,orthodox,,1.411795,0,0
United States of America,2,1990,1,other,,6.131027,0,0
United States of America,2,1991,1,other,,6.083717,0,0
United States of America,2,1991,1,romancatholic,,23.96221,0,0
United States of America,2,1991,1,jewish,,2.001545,0,0
United States of America,2,1991,1,orthodox,,1.390807,0,0
United States of America,2,1991,1,muslim,,0.8595533,0,0
United States of America,2,1991,1,nonreligious,,9.416106,0,0
United States of America,2,1991,1,protestant,,56.28606,0,0
United States of America,2,1992,1,nonreligious,,9.727433,0,0
United States of America,2,1992,1,muslim,,0.8913077,0,0
United States of America,2,1992,1,other,,6.025879,0,0
United States of America,2,1992,1,romancatholic,,23.96357,0,0
United States of America,2,1992,1,jewish,,1.972179,0,0
United States of America,2,1992,1,orthodox,,1.370128,0,0
United States of America,2,1992,1,protestant,,56.0495,0,0
United States of America,2,1993,1,jewish,,1.943236,0,0
United States of America,2,1993,1,romancatholic,,23.96493,0,0
United States of America,2,1993,1,protestant,,55.81268,0,0
United States of America,2,1993,1,muslim,,0.9242238,0,0
United States of America,2,1993,1,orthodox,,1.349751,0,0
United States of America,2,1993,1,nonreligious,,10.04791,0,0
United States of America,2,1993,1,other,,5.957275,0,0
United States of America,2,1994,1,romancatholic,24,23.96629,0,0
United States of America,2,1994,1,other,,5.877678,0,0
United States of America,2,1994,1,nonreligious,,10.37773,0,0
United States of America,2,1994,1,jewish,,1.914708,0,0
United States of America,2,1994,1,protestant,59,55.57558,0,0
United States of America,2,1994,1,muslim,,0.9583443,0,0
United States of America,2,1994,1,orthodox,,1.329674,0,0
United States of America,2,1995,1,muslim,1.9,0.9937118,0,0
United States of America,2,1995,1,romancatholic,21,23.96765,0,0
United States of America,2,1995,1,jewish,2.1,1.886592,0,0
United States of America,2,1995,1,protestant,57.9,55.33823,0,0
United States of America,2,1995,1,other,,5.786835,0,0
United States of America,2,1995,1,orthodox,,1.309891,0,0
United States of America,2,1995,1,nonreligious,,10.71709,0,0
United States of America,2,1996,1,romancatholic,,23.96901,0,0
United States of America,2,1996,1,muslim,,1.030371,0,0
United States of America,2,1996,1,orthodox,,1.290399,0,0
United States of America,2,1996,1,protestant,,55.10064,0,0
United States of America,2,1996,1,jewish,,1.858881,0,0
United States of America,2,1996,1,nonreligious,,11.06617,0,0
United States of America,2,1996,1,other,,5.684525,0,0
United States of America,2,1997,1,jewish,,1.831569,0,0
United States of America,2,1997,1,muslim,,1.068368,0,0
United States of America,2,1997,1,protestant,,54.86282,0,0
United States of America,2,1997,1,other,,5.570511,0,0
United States of America,2,1997,1,romancatholic,,23.97037,0,0
United States of America,2,1997,1,nonreligious,,11.42517,0,0
United States of America,2,1997,1,orthodox,,1.271193,0,0
United States of America,2,1998,1,jewish,,1.804651,0,0
United States of America,2,1998,1,orthodox,,1.252269,0,0
United States of America,2,1998,1,nonreligious,,11.79427,0,0
United States of America,2,1998,1,protestant,,54.62477,0,0
United States of America,2,1998,1,muslim,,1.10775,0,0
United States of America,2,1998,1,other,,5.444557,0,0
United States of America,2,1998,1,romancatholic,,23.97173,0,0
United States of America,2,1999,1,orthodox,,1.233623,0,0
United States of America,2,1999,1,nonreligious,,12.17366,0,0
United States of America,2,1999,1,jewish,,1.778122,0,0
United States of America,2,1999,1,protestant,,54.38651,0,0
United States of America,2,1999,1,romancatholic,,23.97309,0,0
United States of America,2,1999,1,muslim,,1.148568,0,0
United States of America,2,1999,1,other,,5.306427,0,0
United States of America,2,2000,1,romancatholic,25,23.97444,0,0
United States of America,2,2000,1,jewish,,1.751976,0,0
United States of America,2,2000,1,nonreligious,,12.56351,0,0
United States of America,2,2000,1,muslim,,1.19087,0,0
United States of America,2,2000,1,other,,5.155891,0,0
United States of America,2,2000,1,orthodox,1.8,1.215252,0,0
United States of America,2,2000,1,jewish,2,1.751976,0,0
United States of America,2,2000,1,romancatholic,18.2,23.97444,0,0
United States of America,2,2000,1,nonreligious,,12.56351,0,0
United States of America,2,2000,1,orthodox,,1.215252,0,0
United States of America,2,2000,1,protestant,45.7,54.14806,0,0
United States of America,2,2000,1,muslim,1.5,1.19087,0,0
United States of America,2,2000,1,protestant,57,54.14806,0,0
United States of America,2,2000,1,other,,5.155891,0,0
United States of America,2,2001,1,muslim,,1.234712,0,0
United States of America,2,2001,1,jewish,,1.726207,0,0
United States of America,2,2001,1,protestant,,53.9094,0,0
United States of America,2,2001,1,other,,4.992714,0,0
United States of America,2,2001,1,romancatholic,,23.97581,0,0
United States of America,2,2001,1,orthodox,,1.197151,0,0
United States of America,2,2001,1,nonreligious,,12.96401,0,0
United States of America,2,2002,1,nonreligious,,13.37532,0,0
United States of America,2,2002,1,romancatholic,,23.97717,0,0
United States of America,2,2002,1,jewish,1,1.70081,0,0
United States of America,2,2002,1,muslim,1,1.280147,0,0
United States of America,2,2002,1,romancatholic,24,23.97717,0,0
United States of America,2,2002,1,jewish,,1.70081,0,0
United States of America,2,2002,1,orthodox,,1.179317,0,0
United States of America,2,2002,1,orthodox,,1.179317,0,0
United States of America,2,2002,1,other,,4.816666,0,0
United States of America,2,2002,1,protestant,,53.67057,0,0
United States of America,2,2002,1,protestant,52,53.67057,0,0
United States of America,2,2002,1,nonreligious,10,13.37532,0,0
United States of America,2,2002,1,other,,4.816666,0,0
United States of America,2,2002,1,muslim,,1.280147,0,0
United States of America,2,2003,1,orthodox,,1.161744,0,0
United States of America,2,2003,1,muslim,,1.327231,0,0
United States of America,2,2003,1,protestant,,53.43158,0,0
United States of America,2,2003,1,romancatholic,,23.97853,0,0
United States of America,2,2003,1,jewish,,1.675782,0,0
United States of America,2,2003,1,other,,4.627533,0,0
United States of America,2,2003,1,nonreligious,,13.79761,0,0
United States of America,2,2004,1,other,,4.425079,0,0
United States of America,2,2004,1,nonreligious,,14.23104,0,0
United States of America,2,2004,1,protestant,,53.19242,0,0
United States of America,2,2004,1,romancatholic,,23.97989,0,0
United States of America,2,2004,1,orthodox,,1.144431,0,0
United States of America,2,2004,1,muslim,,1.376023,0,0
United States of America,2,2004,1,jewish,,1.651115,0,0
United States of America,2,2005,1,other,,4.209106,0,0
United States of America,2,2005,1,romancatholic,28,23.98124,0,0
United States of America,2,2005,1,nonreligious,,14.67577,0,0
United States of America,2,2005,1,orthodox,,1.127373,0,0
United States of America,2,2005,1,jewish,2,1.626805,0,0
United States of America,2,2005,1,protestant,56,52.95312,0,0
United States of America,2,2005,1,muslim,,1.426583,0,0
United States of America,2,2006,1,nonreligious,,15.13194,0,0
United States of America,2,2006,1,protestant,52,52.71368,0,0
United States of America,2,2006,1,jewish,1,1.602848,0,0
United States of America,2,2006,1,other,,3.979385,0,0
United States of America,2,2006,1,romancatholic,24,23.9826,0,0
United States of America,2,2006,1,muslim,,1.478973,0,0
United States of America,2,2006,1,orthodox,,1.110566,0,0
United States of America,2,2007,1,orthodox,0.6,1.094007,0,0
United States of America,2,2007,1,other,,3.73571,0,0
United States of America,2,2007,1,nonreligious,,15.59971,0,0
United States of America,2,2007,1,jewish,,1.579237,0,0
United States of America,2,2007,1,muslim,0.6,1.533257,0,0
United States of America,2,2007,1,romancatholic,23.9,23.98396,0,0
United States of America,2,2007,1,muslim,0.6,1.533257,0,0
United States of America,2,2007,1,other,,3.73571,0,0
United States of America,2,2007,1,muslim,,1.533257,0,0
United States of America,2,2007,1,protestant,55,52.47412,0,0
United States of America,2,2007,1,jewish,1.7,1.579237,0,0
United States of America,2,2007,1,nonreligious,15.3,15.59971,0,0
United States of America,2,2007,1,other,,3.73571,0,0
United States of America,2,2007,1,romancatholic,23.9,23.98396,0,0
United States of America,2,2007,1,nonreligious,16.1,15.59971,0,0
United States of America,2,2007,1,orthodox,,1.094007,0,0
United States of America,2,2007,1,protestant,53,52.47412,0,0
United States of America,2,2007,1,protestant,53,52.47412,0,0
United States of America,2,2007,1,romancatholic,23,23.98396,0,0
United States of America,2,2007,1,jewish,1.7,1.579237,0,0
United States of America,2,2007,1,orthodox,1,1.094007,0,0
United States of America,2,2008,1,muslim,,1.5895,0,0
United States of America,2,2008,1,other,,3.477882,0,0
United States of America,2,2008,1,nonreligious,,16.07919,0,0
United States of America,2,2008,1,orthodox,,1.077692,0,0
United States of America,2,2008,1,muslim,,1.5895,0,0
United States of America,2,2008,1,other,,3.477882,0,0
United States of America,2,2008,1,romancatholic,22,23.98532,0,0
United States of America,2,2008,1,jewish,,1.555969,0,0
United States of America,2,2008,1,jewish,,1.555969,0,0
United States of America,2,2008,1,jewish,,1.555969,0,0
United States of America,2,2008,1,jewish,,1.555969,0,0
United States of America,2,2008,1,romancatholic,,23.98532,0,0
United States of America,2,2008,1,orthodox,,1.077692,0,0
United States of America,2,2008,1,orthodox,1,1.077692,0,0
